Denumire,Locatie,Pret_noapte,Nr_stele,Scor,Nr_evaluari,Nr_nopti,Check-in,Check-out,Nr_camere,Nr_adulti,Nr_copiii
Barrique Garden,Brasov,382.4,0,9.0,0.0,5,2025-04-16,2025-04-21,1,1,2
Heart of Transylvania - free parking,Brasov,342.0,0,9.0,0.0,5,2025-04-16,2025-04-21,1,1,2
Kronsmart Apartment - Cozy Fireplace and Free Parking,Brasov,338.0,0,9.0,0.0,5,2025-04-16,2025-04-21,1,1,2
Anddia Central Apartment,Brasov,217.8,0,9.3,22.0,5,2025-04-16,2025-04-21,1,1,2
Mirandis Apartments - Comfort & Private Parking Near Coresi Mall,Brasov,271.2,4,9.5,102.0,5,2025-04-16,2025-04-21,1,1,2
Avram Iancu Private Apartment with AC,Brasov,315.0,3,9.8,139.0,5,2025-04-16,2025-04-21,1,1,2
Hotel Aro Palace,Brasov,658.0,0,8.7,2.698,5,2025-04-16,2025-04-21,1,1,2
Red Fountain Studio,Brasov,340.0,0,9.8,178.0,5,2025-04-16,2025-04-21,1,1,2
Hirscher Apartments,Brasov,337.4,4,9.9,207.0,5,2025-04-16,2025-04-21,1,1,2
Seek and Hide - Csilla's Tiny Hideaway,Brasov,231.4,3,9.7,70.0,5,2025-04-16,2025-04-21,1,1,2
PEAK Aparthotel - Old Town - by CityHost,Brasov,370.6,4,9.1,152.0,5,2025-04-16,2025-04-21,1,1,2
Hotel Rainer,Brasov,405.8,0,8.7,2.546,5,2025-04-16,2025-04-21,1,1,2
Montello Guest House,Brasov,428.0,4,9.8,87.0,5,2025-04-16,2025-04-21,1,1,2
Coresi Studio Inn,Brasov,252.0,4,9.7,18.0,5,2025-04-16,2025-04-21,1,1,2
Apartament Julia,Brasov,352.8,0,9.7,5.0,5,2025-04-16,2025-04-21,1,1,2
KOA - Aparthotel,Brasov,657.4,0,9.7,1.469,5,2025-04-16,2025-04-21,1,1,2
Relax601,Brasov,370.0,4,9.7,35.0,5,2025-04-16,2025-04-21,1,1,2
Coresi Mall Area Studios & Apartments by GLAM,Brasov,408.0,3,9.3,95.0,5,2025-04-16,2025-04-21,1,1,2
Minani Apartments,Brasov,304.6,3,9.3,28.0,5,2025-04-16,2025-04-21,1,1,2
Grand Hotel Belvedere,Brasov,670.6,0,8.7,1.82,5,2025-04-16,2025-04-21,1,1,2
Apartment SOFIA,Brasov,479.0,3,9.9,60.0,5,2025-04-16,2025-04-21,1,1,2
Bark Inn - Bed and Breakfast,Brasov,415.4,0,9.6,112.0,5,2025-04-16,2025-04-21,1,1,2
Saint John's 22 Brasov,Brasov,441.4,4,9.7,143.0,5,2025-04-16,2025-04-21,1,1,2
Apartment Casa Friedrich Czell,Brasov,423.0,3,9.5,128.0,5,2025-04-16,2025-04-21,1,1,2
Schiller Apartment 57 - Free private parking,Brasov,414.0,3,9.8,20.0,5,2025-04-16,2025-04-21,1,1,2
Alina,Suceava,108000.0,0,9.8,0.0,5,2025-04-16,2025-04-21,1,1,2
Luxury Sunny Apartments near City Center Suceava,Suceava,247.6,3,9.2,66.0,5,2025-04-16,2025-04-21,1,1,2
Zlata Rezidential Home,Suceava,261.0,4,9.6,10.0,5,2025-04-16,2025-04-21,1,1,2
Luxury Apartments and Studios Boulevard G Enescu Suceava,Suceava,360.0,3,9.3,242.0,5,2025-04-16,2025-04-21,1,1,2
Luxury Towers Apartments Parking included,Suceava,405.4,3,9.9,46.0,5,2025-04-16,2025-04-21,1,1,2
Luxury Apartments with 1&2 Bedroom with Parking,Suceava,368.6,3,9.6,28.0,5,2025-04-16,2025-04-21,1,1,2
Cozy ApartHotel K Suceava,Suceava,360.0,3,9.3,349.0,5,2025-04-16,2025-04-21,1,1,2
Hotel Sonnenhof,Suceava,570.0,0,9.4,1.362,5,2025-04-16,2025-04-21,1,1,2
Apartament Suceava,Suceava,315.0,3,9.7,46.0,5,2025-04-16,2025-04-21,1,1,2
Relaxing and Beautiful Apartments in Centre of Historical Suceava,Suceava,324.0,3,9.1,59.0,5,2025-04-16,2025-04-21,1,1,2
Exclusive Ultracentral Apartments and Studios #Enescu#Universitatii#Suceava,Suceava,348.4,3,9.4,87.0,5,2025-04-16,2025-04-21,1,1,2
Sunny Apartments Avanera Suceava 96,Suceava,252.0,3,9.1,25.0,5,2025-04-16,2025-04-21,1,1,2
Cozy Holidays in Center of Suceava Esplanada,Suceava,348.4,3,9.1,67.0,5,2025-04-16,2025-04-21,1,1,2
Deluxe Aparthotel MARWELL RESIDENCE,Suceava,840.0,4,9.8,669.0,5,2025-04-16,2025-04-21,1,1,2
visitor's house,Suceava,300.0,0,9.8,2.0,5,2025-04-16,2025-04-21,1,1,2
Cozy Aparthotel - Central City Suceava,Suceava,423.0,3,9.5,87.0,5,2025-04-16,2025-04-21,1,1,2
Unique Cozy Penthouses with Terrace and Suceava Magic View,Suceava,796.6,4,9.8,5.0,5,2025-04-16,2025-04-21,1,1,2
Hotel Residenz,Suceava,440.0,0,8.8,1.104,5,2025-04-16,2025-04-21,1,1,2
